genre_id,genre_name
0,adult standards
1,album rock
2,alternative hip hop
3,alternative metal
4,classic rock
5,alternative pop rock
6,pop
7,modern rock
8,detroit hip hop
9,alternative rock
10,dutch indie
11,garage rock
12,dutch cabaret
13,permanent wave
14,classic uk pop
15,dance pop
16,modern folk rock
17,dutch pop
18,dutch americana
19,alternative dance
20,german pop
21,afropop
22,british soul
23,irish rock
24,disco
25,big room
26,art rock
27,danish pop rock
28,neo mellow
29,britpop
30,boy band
31,carnaval limburg
32,arkansas country
33,latin alternative
34,british folk
35,celtic
36,chanson
37,celtic rock
38,hip pop
39,east coast hip hop
40,dutch rock
41,blues rock
42,electro
43,australian pop
44,belgian rock
45,downtempo
46,reggae fusion
47,british invasion
48,finnish metal
49,canadian pop
50,bow pop
51,dutch hip hop
52,dutch metal
53,soft rock
54,acoustic pop
55,acid jazz
56,dutch prog
57,candy pop
58,operatic pop
59,trance
60,scottish singer-songwriter
61,mellow gold
62,alternative pop
63,dance rock
64,atl hip hop
65,eurodance
66,blues
67,canadian folk
68,big beat
69,art pop
70,uk pop
71,glam metal
72,brill building pop
73,g funk
74,happy hardcore
75,belgian pop
76,classic schlager
77,contemporary country
78,barbadian pop
79,gabba
80,chamber pop
81,british singer-songwriter
82,indie pop
83,australian rock
84,nederpop
85,australian indie folk
86,folk-pop
87,electropop
88,edm
89,metropopolis
90,irish pop
91,electronica
92,alaska indie
93,irish singer-songwriter
94,stomp and holler
95,australian dance
96,australian psych
97,laboratorio
98,contemporary vocal jazz
99,rock-and-roll
100,glam rock
101,classic soundtrack
102,icelandic indie
103,danish pop
104,compositional ambient
105,neo soul
106,streektaal
107,italian pop
108,indie anthem-folk
109,la pop
110,baroque pop
111,ccm
112,electro house
113,austropop
114,australian americana
115,latin
116,chicago soul
117,classic soul
118,bubblegum pop
119,classic country pop
120,europop
121,hard rock
122,reggae
123,j-core
124,funk
125,folk
126,punk
127,basshall
128,australian alternative rock
129,yacht rock
130,alternative country
131,celtic punk
132,new wave pop
133,classic canadian rock
134,christelijk
135,levenslied
136,cyberpunk
137,gangster rap
138,diva house
139,classical rock
140,canadian rock
141,german pop rock
142,british alternative rock
143,latin jazz
144,german alternative rock
145,classic italian pop
146,pop punk
147,motown
148,bebop
